metric,value
avg_idle_hand_ms,30.9
avg_warm_depth_ms,0
avg_warm_hand_ms,28.6
avg_warm_plane_ms,48
avg_warm_seg_ms,195.1
dropped_frames,0
duration_s,296.3
end_time,1781433707
errors,0
hand_frames_total,1387
idle_duration_s,268.9
idle_fps,5.1
idle_frames,1371
idle_hand_fps,5.1
idle_hand_frames,1370
idle_hand_ms_total,42276.54338
idle_start_time,1781433438
idle_tcp_hand_hz,5.1
idle_tcp_hand_sends,1370
lock_frame_id,174
lock_source,python_only_unity_never_acked
lock_time,1781433438
mode,post_lock_idle
start_time,1781433411
total_frames,1388
udp_input_frames,1575
warm_depth_ms_total,0
warm_duration_s,27.4
warm_end_time,1781433438
warm_frames,17
warm_hand_frames,17
warm_hand_ms_total,485.3599072
warm_pipeline_fps,0.6
warm_pipeline_ms_total,7699.81122
warm_plane_ms_total,815.2
warm_seg_ms_total,3316.9
warm_start_time,1781433411
warm_tcp_guardian_hz,0.6
warm_tcp_guardian_sends,17
warm_tcp_hand_hz,0.6
warm_tcp_hand_sends,17
warnings,0
